,coef,p-val
1020717,0.5337130874244318,0.09084897307112193
1021076,-0.48967148622245993,0.12630514111208865
1021142,0.49198652416272215,0.12425113893551434
1021236,0.007011259776208009,0.9836772548504111
1021276,0.8653660771538161,0.0005790531015278593
1021354,-0.04763505267709776,0.8893887158991814
1021630,0.1127014325695366,0.7414588631409531
1021756,-0.06772854614785963,0.8431547466926002
1021872,0.223606797749979,0.5086464915963445
1021987,-0.5810730290102315,0.06082924087893444
1022106,0.17244630974484051,0.6121308316568614
1022107,0.19679685393208207,0.5619251732234298
1022226,-0.1265056840332844,0.7109018346139906
1022234,0.4644243164424662,0.15011637523996052
1022712,-0.5825749366425523,0.06000609573951373
1023107,0.317262338011475,0.34177268324771953
1023706,0.3823420887355179,0.24585746601663552
1023854,0.3908033683673578,0.23467785046709688
1023897,-0.032186034291019204,0.9251546676246921
1023904,-0.08945362269913996,0.7936658918427086
1024194,0.22581604284816276,0.5043560152660072
1024270,0.4439370891026038,0.17136646214516119
1024352,0.7008488728755606,0.016284517661284456
1024362,0.5812372197528936,0.06073888266754996
1024389,0.5843418687552857,0.059047422754129
1024427,0.07472403068865159,0.8271553813614995
1024606,-0.02791452631195413,0.935068184042559
1024726,-0.5011402523360257,0.11633945886179564
1024763,-0.20519567041703082,0.54499936473716
1024981,0.12395013660192701,0.7165314557650605
1025054,0.013794014696151088,0.9678917727706345
1026000,0.5528766931825022,0.07773095515983634
1026103,0.5939817335655618,0.05400012232904234
1026215,-0.8740703854339317,0.0004342967723788724
1026365,0.045980048987170286,0.8932124414296368
1026946,-0.3674870459920494,0.266211141515319
1026977,0.47819250946657105,0.13680926936773155
1027012,-0.28712439340989665,0.3919502612964346
1027206,0.9651460248662211,1.533678346599256e-06
1027394,-0.3880977128388465,0.23822001097461876
1027791,0.6942987397062713,0.017763217409126137
1027806,0.6299069708824299,0.03778962659295369
1028174,0.6779642983513766,0.021866046940560244
1028193,0.0965581028730576,0.7776207859925836
1028294,-0.358445708189548,0.27904975450161423
1028306,-0.8419691425682041,0.001149414500044319
1028378,-0.2809451943313383,0.4026677186999861
1028571,0.8176064751620179,0.0021111071982354095
1028800,-0.20976176963403032,0.5358859377978678
1028944,-0.046747349500422856,0.891439409733647
1029289,-0.38637320504757067,0.24049374929887446
1029473,0.6159680250280649,0.04360854477714821
1029643,-0.19029671382713897,0.575165706445601
1029924,0.28395131661687606,0.3974358871570277
1030062,-0.2136291605566945,0.5282168293392542
1030218,0.2011873613689806,0.5530511478600977
1030936,0.6484085862676569,0.030931667869028057
1030957,-0.06407339430346859,0.8515360205958972
1030997,-0.46435036391789564,0.15018995338762198
1031205,-0.5994233324303748,0.05128535802228409
1031818,0.11441551070947109,0.7376453676908262
1031917,0.7723046972889297,0.0053404434409842945
1032123,-0.3287857350300671,0.3235300227830137
1032315,0.028048409700253716,0.9347573288347135
1032760,-0.2778971277117667,0.4080069456925489
1033257,-0.5104266412734632,0.1086524250942775
1033267,-0.27816398273005216,0.4075381240968997
1033481,0.6854655452308528,0.019906343786284714
1033745,0.48027951669278246,0.13485978029980553
1033755,0.5042944812441662,0.1136903578758093
1034151,0.2850763037204558,0.3954866727561238
1034252,0.5331196507795603,0.0912769891139681
1034292,-0.6455812848523669,0.031918072008874074
1034435,-0.7216706924882901,0.012169425963436474
1034674,-0.20022714374157438,0.5549870889966838
1034722,-0.2275896961239115,0.5009228817262468
1034783,-0.3278959208544614,0.3249197385118185
1034825,-0.016129717346297343,0.9624580359093623
1034877,-0.28158882677702585,0.40154470455414115
1034878,0.5071783045165658,0.11130272119290141
1034931,0.8391463916782735,0.001239398943074501
1034939,-0.17635736801850793,0.6039581668215555
1035193,-0.228513360237148,0.4991390528419014
1035329,0.018349396085439344,0.957295539966406
1035432,-0.23341022210549273,0.4897285828537278
1036280,-0.29110309969337517,0.3851255783021762
1036360,0.43042206947917633,0.18634353742886262
1036445,0.15807578393277047,0.6424963201482107
1036928,0.09512612573031985,0.7808487657172587
1036981,-0.5858290865554853,0.05824862481542157
1037065,0.686617719350826,0.019616854492358646
1037207,0.6890549673048442,0.01901440436062003
1037297,-0.03861356447997063,0.9102557420046687
1037667,0.6133829349383709,0.044751928851190254
1037830,0.415529446129273,0.2037362282514998
1039322,-0.4019462935493151,0.2204147898899459
1039413,0.5780059766913394,0.06253391314008457
1039549,-0.15474472834987346,0.6496077013274916
1039927,0.41952353926806063,0.19897996222447503
1040389,0.8860722131644513,0.0002817449438756403
1040472,-0.2534804458900097,0.4519998995036114
1040870,0.317262338011475,0.34177268324771953
1041685,-0.013826206139455075,0.9678168743654659
1042013,0.28395131661687606,0.3974358871570277
1042103,0.4654822733616542,0.14906624236372773
1042176,0.08124769385629756,0.81228796243299
1042195,0.19583299433917967,0.5638808438356866
1043046,0.31193973345246884,0.3503771785799732
1043123,0.5316433278986707,0.09234754377382257
1043560,-0.18115789195666254,0.5939824595627793
298024,0.6319062870042959,0.03700188430960067
300366,0.6095569153307367,0.04648190088891291
302267,-0.41476416033336017,0.20465522711471956
303017,0.5244044240850757,0.09771636613972366
304803,0.4514121051815021,0.1634109650412671
307058,0.2347185882638107,0.4872276244840531
308129,-0.5145050270027385,0.10538331325178876
308904,-0.6917776312525235,0.018357164911696165
309286,-0.030455072082086983,0.9291708868379238
310286,-0.8391463916782735,0.001239398943074501
311937,0.3532258746447074,0.28661617567906966
311939,0.014337828327581922,0.9666265373769677
312035,-0.03871244700930276,0.9100267250004193
312251,0.4965688058518816,0.12024885367253689
312264,0.523919354714936,0.09808326136414804
312335,-0.2000554246927641,0.5553335866669722
312382,-0.0915353377452523,0.7889567297808934
312415,0.022990024493585143,0.9465074001255022
312422,0.30168866695495244,0.3672623820468014
312479,0.5714831870974764,0.06626621828146871
312482,-0.10564964163822392,0.7572019157382746
312526,-0.5987384410658761,0.051621783658611406
312791,-0.07408677865766361,0.8286104876131486
312840,0.3637559611938274,0.2714680752504913
313186,0.1491080198414145,0.6617010888363011
313321,0.1648414164183531,0.6281356685504165
314774,0.5504818825631803,0.0792964878717761
316054,0.3340969845823719,0.3153012960152963
316390,0.30523997187739754,0.36136637559800333
316858,-0.18751808710755183,0.5808623109870666
316992,0.28310797428587836,0.3989002218282989
317930,0.11192491113656228,0.7431881992845787
318962,0.064696928380387,0.850105256983627
319153,-0.2295591934367676,0.497122639209036
320231,0.4495602040932639,0.16536019365572607
320867,0.3225179497055684,0.33338672620747706
321888,-0.1593255013631383,0.6398352273708463
323054,0.5489856841350979,0.08028516466212295
331512,0.3618730641634125,0.2741429760618341
333782,0.40942720259427356,0.21113281963097885
362017,0.20422086361936864,0.5469531181704964
574291,-0.0917469804271967,0.7884783134215824
574371,0.38613564479970625,0.24080794875937325
575097,0.11948190272984933,0.7264048883128063
575102,0.7049350867895439,0.015408093098808785
575116,0.3954557894193501,0.228659091178821
575124,0.8709957999653102,0.0004818607238742447
580586,0.3233040690205665,0.332141845262798
580706,-0.22492862284621332,0.5060775466583873
580846,0.36081274404209224,0.2756557793809803
581617,0.19164110054968558,0.5724173326625683
582240,0.25245962049485143,0.453885496591788
582283,0.3070876145017643,0.35831826380767506
582948,-0.15407828716946168,0.6510336464507865
583853,0.24943926360875127,0.4594857490504558
584493,0.27128228902430473,0.4197121008944795
584518,0.6100645526272308,0.04624976026279309
584546,-0.16410764903987518,0.6296876777528313
585218,0.6102160571171791,0.046180632934565924
585579,0.9007528963649349,0.00015479570772943931
586069,0.5714528431259629,0.06628392366057204
587075,0.17431926281167376,0.6082120315809951
589899,-0.31002661958994576,0.35349719539423097
597892,-0.9224002890744369,5.282246139249058e-05
598421,0.8391463916782735,0.001239398943074501
600051,0.4850207903503496,0.13049663640826437
600056,0.038321402165520116,0.9109324406494143
602803,-0.2656066232870962,0.42988282398517264
603657,-0.19972058663135295,0.5560094783162499
603719,0.7479042255487044,0.008126078933109664
603771,-0.05057805388588732,0.8825944663825978
603843,0.42961734455219197,0.18725949643142042
604469,0.3502452909481708,0.2909871348362705
604470,-0.53550052474627,0.08956778332495995
604655,0.22247940493829754,0.5108419873313534
604852,0.0,1.0
