,fpr,tpr
1036445,0.0057271425649417056,0.9866803278688525
1036928,0.0006007208650380457,1.0
1036981,0.00019860973187686197,0.89
1037065,0.0014016820184221065,1.0
1037207,0.0014053402931138326,1.0
1037297,0.00040016006402561027,0.967741935483871
1037667,0.0,1.0
1037830,0.04099530899449317,1.0
1039322,0.008650170991752162,1.0
1039413,0.0003991219317501497,1.0
1039549,0.005488920512299248,0.9820574162679426
1039927,0.0030144694533762056,1.0
1040389,0.003601440576230492,0.9668508287292817
1040472,0.011887970985291155,0.9606373008434864
1040870,0.0004008819402685909,0.9950248756218906
1041685,0.001200240048009602,1.0
1042013,0.0011956954962136308,0.9661016949152542
1042103,0.013185002060156572,0.9926253687315634
1042176,0.013192612137203167,1.0
1042195,0.00019940179461615153,0.9066666666666666
1043046,0.009482418016594232,1.0
1043123,0.001001401962747847,0.9910714285714286
1043560,0.0005933544303797469,0.9621928166351607
298024,0.004,1.0
300366,0.0,1.0
302267,0.027050053248136315,0.9626666666666667
303017,0.012723168479376155,1.0
304803,0.001200240048009602,0.963963963963964
307058,0.006190095846645367,0.9626556016597511
308129,0.0043179587831207065,0.911864406779661
308904,0.0011705033164260631,0.9344262295081968
309286,0.0004004004004004004,0.9882352941176471
310286,0.0005995203836930455,0.8901098901098901
311937,0.0021938571998404467,0.9649122807017544
311939,0.0039494470774091624,0.9794721407624634
312035,0.00039277297721916735,0.899581589958159
312251,0.01721137110810288,1.0
312264,0.10743801652892562,1.0
312335,0.009831460674157303,0.9249146757679181
312382,0.0,0.9927536231884058
312415,0.00672782874617737,0.9403973509933775
312422,0.0,1.0
312479,0.0003975352812562115,0.9748427672955975
312482,0.002607300441235459,0.9805194805194806
312526,0.0061525840853158325,0.9568527918781726
312791,0.002007226013649137,0.9790209790209791
312840,0.0023894862604540022,1.0
313186,0.0008011215701982776,1.0
313321,0.0026705012325390306,0.9545454545454546
314774,0.00962502506516944,1.0
316054,0.001744524132583834,0.9902676399026764
316390,0.0190325138778747,1.0
316858,0.018401015228426396,0.9177262528047868
316992,0.058039552880481515,1.0
317930,0.00684655658477648,1.0
318962,0.0,1.0
319153,0.0,0.9817073170731707
320231,0.007809371245494593,1.0
320867,0.031300813008130084,1.0
321888,0.0004004004004004004,1.0
323054,0.04354742493537483,1.0
331512,0.00713577799801784,0.9441860465116279
333782,0.002736512900703675,0.9432314410480349
